No,Day,Month,Year,Qobs_0000000001,Qsim_0000000001,Qobs_0000000002,Qsim_0000000002,Qobs_0000000003,Qsim_0000000003,Qobs_0000000004,Qsim_0000000004
65,5,3,2016,7.42,2.3992233,3.124,1.4228941,1.241,0.7947494,29.259,16.6418181
66,6,3,2016,3.0,2.4243699,2.146,1.4587014,0.971,0.7658259,20.289,18.5997755
67,7,3,2016,1.938,1.876569,1.601,1.1852221,0.756,0.4959422,14.925,12.4727393
68,8,3,2016,1.553,1.4829388,1.361,0.9612787,0.63,0.3494782,12.987,9.1221966
69,9,3,2016,1.371,1.1913493,1.254,0.7883801,0.53,0.2646705,12.043,7.0130217
70,10,3,2016,1.182,0.9872334,1.145,0.6851649,0.461,0.2652136,10.778,6.5639049
71,11,3,2016,1.053,0.8390645,1.025,0.6058839,0.503,0.3130719,10.448,7.0765456
72,12,3,2016,0.978,0.7088354,0.923,0.5125758,0.633,0.3075766,10.905,6.5384196
73,13,3,2016,0.918,0.6055631,0.87,0.4375666,0.81,0.2806739,11.54,5.5075002
74,14,3,2016,0.865,0.5244878,0.818,0.378356,0.793,0.2443097,12.049,4.596801
75,15,3,2016,0.828,0.4602885,0.76,0.3321228,0.675,0.2009167,10.977,3.8683332
76,16,3,2016,0.825,0.4088907,0.757,0.2947259,0.575,0.1692837,10.105,3.3610009
77,17,3,2016,0.745,0.3673265,0.716,0.2639713,0.444,0.1468847,8.445,3.0045906
78,18,3,2016,0.708,0.3335502,0.695,0.2389113,0.409,0.130841,7.604,2.9032641
79,19,3,2016,0.687,0.3059632,0.641,0.2184433,0.351,0.118984,7.173,2.8541832
80,20,3,2016,0.664,0.2833098,0.612,0.201641,0.291,0.1099206,6.677,2.6256781
81,21,3,2016,0.645,0.2646148,0.586,0.187783,0.247,0.1027809,6.264,2.3140458
82,22,3,2016,0.634,0.2491147,0.576,0.1763029,0.216,0.0970022,5.981,2.0802879
83,23,3,2016,0.624,0.2362068,0.557,0.166753,0.188,0.0922092,5.612,1.9232187
84,24,3,2016,0.582,0.2254121,0.536,0.158777,0.169,0.0881452,5.17,1.8127899
85,25,3,2016,0.577,0.2167549,0.519,0.1526214,0.161,0.0857596,4.914,1.7424202
86,26,3,2016,0.561,0.2093169,0.509,0.1474272,0.152,0.0837901,4.764,1.6944143
87,27,3,2016,0.562,0.2027554,0.496,0.1425308,0.147,0.0817952,4.774,1.6355979
88,28,3,2016,0.562,0.1971886,0.497,0.1383989,0.138,0.0806789,4.691,1.6012667
89,29,3,2016,0.538,0.1929202,0.477,0.1369382,0.153,0.0969262,4.598,1.7563975
90,30,3,2016,0.528,0.1891153,0.462,0.135496,0.152,0.1080175,5.81,2.0170698
91,31,3,2016,0.521,0.1855059,0.455,0.1323575,0.131,0.0983912,5.16,1.8557871
92,1,4,2016,0.506,0.1823848,0.431,0.129659,0.117,0.0910203,4.688,1.7354859
93,2,4,2016,0.5,0.1796816,0.43,0.1273459,0.11,0.0851877,4.361,1.6397777
94,3,4,2016,0.501,0.17733,0.431,0.1253551,0.105,0.080456,4.151,1.5617644
95,4,4,2016,0.496,0.1752745,0.445,0.1236345,0.101,0.0765291,4.003,1.4967948
96,5,4,2016,0.539,0.3135925,0.46,0.1959546,0.115,0.1083005,4.05,2.1128903
97,6,4,2016,0.791,0.3698731,0.713,0.2709513,0.255,0.1759281,7.253,3.5087088
98,7,4,2016,0.518,0.2980431,0.477,0.2404125,0.15,0.1657069,5.229,3.4480945
99,8,4,2016,0.505,0.2938121,0.45,0.2549287,0.128,0.1497887,4.225,3.1080749
100,9,4,2016,0.569,0.2993614,0.515,0.2453565,0.128,0.1377568,4.261,2.8920562
101,10,4,2016,0.491,0.2739317,0.438,0.2207833,0.11,0.1188729,3.747,2.4953444
102,11,4,2016,0.473,0.2556817,0.413,0.2030087,0.101,0.1049636,3.58,2.2075431
103,12,4,2016,0.482,0.2424045,0.466,0.1961603,0.099,0.0968012,3.764,2.0620258
104,13,4,2016,1.121,0.8583798,0.867,0.6072112,0.229,0.2905877,6.423,4.7903153
105,14,4,2016,1.13,0.7585543,0.95,0.5404536,0.316,0.3656195,8.954,6.469459
106,15,4,2016,0.715,0.5985232,0.612,0.4603158,0.199,0.3121953,6.187,5.2096192
107,16,4,2016,1.015,0.8453077,0.913,0.5377319,0.368,0.3600744,8.358,5.9546958
108,17,4,2016,3.347,2.1472402,1.976,1.3471947,1.237,0.9098761,22.632,14.3532015
109,18,4,2016,4.649,2.5803357,3.439,1.7685577,1.483,1.3011428,32.364,23.7484292
110,19,4,2016,2.279,2.024766,2.004,1.5168947,0.946,0.9391443,17.813,18.4642698
111,20,4,2016,1.537,1.504587,1.293,1.1622122,0.636,0.5612004,12.114,11.554511
112,21,4,2016,1.233,1.1947406,1.003,0.9346109,0.476,0.3794206,9.523,8.2416215
