No,Day,Month,Year,Qobs_0000000001,Qsim_0000000001,Qobs_0000000002,Qsim_0000000002,Qobs_0000000003,Qsim_0000000003,Qobs_0000000004,Qsim_0000000004
617,8,9,2017,0.163,0.2429688,0.218,0.2155529,0.019,0.0273366,0.951,1.0230062
618,9,9,2017,0.196,0.242555,0.259,0.2151847,0.038,0.0313303,1.16,1.0973918
619,10,9,2017,0.204,0.2424571,0.263,0.2148559,0.027,0.0276029,1.562,1.1120304
620,11,9,2017,0.159,0.241722,0.251,0.2144245,0.02,0.0269023,1.235,1.0279225
621,12,9,2017,0.243,0.2494757,0.314,0.2149089,0.047,0.0410842,1.487,1.2113259
622,13,9,2017,0.196,0.2471746,0.266,0.2147003,0.03,0.0274807,1.817,1.1122754
623,14,9,2017,0.2,0.2562287,0.294,0.248855,0.131,0.0675932,1.876,1.7361535
624,15,9,2017,0.184,0.2473362,0.308,0.2178986,0.053,0.0313361,3.3,1.342724
625,16,9,2017,0.154,0.2397847,0.285,0.2128517,0.036,0.0297619,1.688,1.1512194
626,17,9,2017,0.212,0.2760795,0.352,0.2185371,0.078,0.0595035,1.554,1.5884207
627,18,9,2017,0.174,0.2492743,0.305,0.2144631,0.193,0.043301,4.772,1.569876
628,19,9,2017,0.263,0.3237662,0.421,0.2566412,0.106,0.0613159,3.399,1.8880886
629,20,9,2017,0.214,0.2537213,0.368,0.2183379,0.1,0.0416548,3.338,1.5555343
630,21,9,2017,,0.2378237,0.252,0.2114996,0.061,0.037896,2.328,1.3294388
631,22,9,2017,,0.2374001,0.238,0.2110654,0.047,0.0355477,1.804,1.2368195
632,23,9,2017,0.202,0.2369832,0.222,0.2106478,0.039,0.033685,1.538,1.1737822
633,24,9,2017,0.203,0.2365722,0.218,0.2102446,0.034,0.0321805,1.354,1.1283409
634,25,9,2017,0.196,0.2361664,0.217,0.2098537,0.03,0.0309443,1.278,1.0941131
635,26,9,2017,0.174,0.2357654,0.225,0.2094752,0.029,0.0299113,1.281,1.0674358
636,27,9,2017,0.172,0.2353686,0.241,0.209106,0.028,0.0290342,1.289,1.0459574
637,28,9,2017,0.171,0.2349752,0.234,0.2087432,0.025,0.0282777,1.171,1.0281609
638,29,9,2017,0.166,0.2345851,0.234,0.2083875,0.024,0.0276156,1.08,1.0130982
639,30,9,2017,0.173,0.2342061,0.274,0.2080562,0.025,0.0273987,1.084,1.015505
640,1,10,2017,0.179,0.2338362,0.286,0.2077395,0.037,0.0272519,1.344,1.0372352
641,2,10,2017,0.193,0.2334548,0.308,0.207397,0.025,0.0267156,1.375,1.0185193
642,3,10,2017,0.311,0.2773979,0.498,0.223668,0.127,0.06004,2.246,1.6472771
643,4,10,2017,0.204,0.2573005,0.273,0.2135801,0.058,0.0333097,3.051,1.3041642
644,5,10,2017,0.183,0.2324553,0.221,0.2066176,0.038,0.0312528,1.731,1.1214424
645,6,10,2017,0.175,0.2320649,0.212,0.2062641,0.034,0.0300151,1.388,1.080609
646,7,10,2017,0.182,0.2316782,0.215,0.2059171,0.028,0.028984,1.376,1.0495293
647,8,10,2017,0.232,0.231303,0.254,0.2055868,0.032,0.0281457,1.468,1.0263017
648,9,10,2017,0.184,0.2309317,0.222,0.2052611,0.026,0.0274089,1.327,1.0077029
649,10,10,2017,0.18,0.2305525,0.214,0.204927,0.024,0.0267486,1.253,0.9914859
650,11,10,2017,0.179,0.2301758,0.227,0.204597,0.023,0.0261654,1.165,0.9777813
651,12,10,2017,0.173,0.2298016,0.212,0.2042707,0.022,0.0256436,1.083,0.9659465
652,13,10,2017,0.171,0.2294295,0.24,0.2039478,0.021,0.025171,0.839,0.9555174
653,14,10,2017,0.17,0.2290595,0.233,0.2036278,0.02,0.0247381,0.811,0.9461652
654,15,10,2017,0.175,0.2286914,0.244,0.2033104,0.02,0.0243376,0.783,0.937652
655,16,10,2017,0.176,0.228325,0.264,0.2029954,0.019,0.0239637,0.809,0.9298029
656,17,10,2017,0.177,0.2279603,0.315,0.2026825,0.019,0.0236119,0.816,0.922487
657,18,10,2017,0.175,0.227597,0.329,0.2023715,0.019,0.0232786,0.809,0.9156055
658,19,10,2017,0.176,0.2272351,0.338,0.2020622,0.019,0.0229609,0.809,0.9090825
659,20,10,2017,0.175,0.2268745,0.327,0.2017545,0.018,0.0226566,0.824,0.9028598
660,21,10,2017,0.182,0.2265253,0.355,0.2017118,0.027,0.0415678,0.809,1.0945418
661,22,10,2017,0.256,0.2319914,0.614,0.2178866,0.104,0.0494238,1.771,1.5020348
662,23,10,2017,0.234,0.3248175,0.698,0.2457917,0.116,0.0532011,2.886,1.7507589
663,24,10,2017,0.192,0.2382177,0.598,0.2037282,0.078,0.030982,3.344,1.2643435
664,25,10,2017,0.168,0.2251889,0.587,0.2004012,0.045,0.0291723,1.97,1.1019777
665,26,10,2017,0.165,0.2248254,,0.2000833,0.034,0.0279264,1.475,1.0492847
666,27,10,2017,0.164,0.2244643,,0.1997686,0.027,0.026902,1.261,1.0121091
667,28,10,2017,0.167,0.2241053,,0.1994567,0.025,0.0260462,1.138,0.9844907
668,29,10,2017,0.167,0.2237479,,0.1991474,0.025,0.02532,1.062,0.9636899
669,30,10,2017,0.167,0.2233922,,0.1988404,0.023,0.0246945,1.034,0.9478863
670,31,10,2017,0.169,0.2230381,,0.1985353,0.022,0.0241477,1.028,0.9333806
671,1,11,2017,0.174,0.2226854,,0.1982321,0.023,0.0236631,1.013,0.921151
672,2,11,2017,0.172,0.2223341,,0.1979306,0.022,0.0232279,0.985,0.9106428
673,3,11,2017,0.168,0.2219841,0.289,0.1976306,0.021,0.0228323,0.966,0.9014237
674,4,11,2017,0.171,0.2216369,0.259,0.197337,0.021,0.02254,0.973,0.8955372
675,5,11,2017,0.589,0.6388193,0.694,0.4540599,0.173,0.0713785,3.206,2.3342309
676,6,11,2017,0.239,0.2779736,0.333,0.2144971,0.138,0.038136,4.716,1.5547443
677,7,11,2017,0.192,0.2209543,0.308,0.1971028,0.115,0.0332781,3.031,1.2333132
678,8,11,2017,0.179,0.2205845,0.289,0.1979208,0.097,0.0369955,2.558,1.2686755
679,9,11,2017,0.209,0.2202662,0.289,0.196698,0.084,0.0314665,2.411,1.1607296
680,10,11,2017,0.209,0.2198368,0.304,0.1959553,0.067,0.0313631,1.989,1.1069778
681,11,11,2017,0.269,0.5015513,0.365,0.3287062,0.093,0.0747927,2.062,2.3258678
682,12,11,2017,0.862,0.7113065,0.749,0.4586933,0.53,0.1242458,10.902,3.8256899
683,13,11,2017,0.568,0.2726005,0.7,0.2119852,0.524,0.0939246,11.676,3.0275662
684,14,11,2017,0.324,0.222014,0.391,0.1970805,0.323,0.0759974,6.735,2.195275
685,15,11,2017,0.251,0.2212108,0.324,0.1964687,0.214,0.0639787,4.215,1.8123043
686,16,11,2017,0.23,0.2204701,0.304,0.1959008,0.162,0.055393,3.241,1.5795591
687,17,11,2017,0.225,0.219788,0.277,0.1953738,0.138,0.0494817,2.682,1.434661
688,18,11,2017,0.214,0.2191554,0.272,0.1948806,0.131,0.044852,2.456,1.3259649
689,19,11,2017,0.21,0.2185902,0.267,0.1944297,0.12,0.0418893,2.292,1.2585226
690,20,11,2017,0.203,0.2180616,0.26,0.1940014,0.106,0.0394763,2.119,1.2170424
691,21,11,2017,0.204,0.2175328,0.271,0.1935811,0.097,0.0369729,1.966,1.1979663
692,22,11,2017,0.203,0.2170312,0.261,0.1931797,0.087,0.0349442,1.772,1.1645796
693,23,11,2017,0.202,0.2165533,0.266,0.1927949,0.074,0.0332915,1.716,1.1065595
694,24,11,2017,0.192,0.216108,0.256,0.1924282,0.069,0.032158,1.578,1.0696678
695,25,11,2017,0.696,0.6058538,1.077,0.4756862,0.487,0.1142049,6.468,3.0659229
696,26,11,2017,0.372,0.2788758,0.57,0.2163317,0.382,0.1019478,7.373,2.9215943
697,27,11,2017,0.255,0.22166,0.362,0.1965393,0.23,0.0827047,4.165,2.166115
698,28,11,2017,0.236,0.2189736,0.317,0.1954625,0.182,0.0753698,3.133,1.9690713
699,29,11,2017,0.239,0.2497123,0.317,0.2285823,0.174,0.0690032,2.999,1.9741798
700,30,11,2017,0.24,0.2429202,0.313,0.2058516,0.15,0.0600215,2.986,1.6867571
701,1,12,2017,0.242,0.2172271,0.311,0.1943283,0.147,0.0533608,2.77,1.4993953
702,2,12,2017,0.227,0.2163808,0.29,0.1934889,0.137,0.048362,2.515,1.3816027
703,3,12,2017,0.22,0.2156103,0.28,0.1927314,0.136,0.0445256,2.398,1.2941747
704,4,12,2017,0.215,0.2151312,0.278,0.1928279,0.136,0.0415205,2.368,1.240425
705,5,12,2017,0.218,0.21433,0.279,0.1915007,0.136,0.0391209,2.325,1.1763108
706,6,12,2017,0.218,0.2137151,0.278,0.1909111,0.13,0.0371697,2.216,1.134772
707,7,12,2017,0.216,0.2156346,0.277,0.1924062,0.129,0.0460156,2.264,1.2624303
708,8,12,2017,0.437,0.4339846,0.566,0.3464769,1.032,0.1276838,11.808,3.0903192
709,9,12,2017,0.295,0.2441274,0.499,0.202882,0.716,0.1165212,10.156,2.8739026
710,10,12,2017,0.698,0.2204352,0.764,0.1945898,0.852,0.0927311,9.892,2.2432575
711,11,12,2017,3.336,2.3547782,2.899,1.4912845,3.629,1.4018179,87.119,26.4104457
712,12,12,2017,2.149,0.9114892,2.839,0.5882518,2.287,1.6277982,59.011,37.475809
713,13,12,2017,0.737,0.6439368,0.993,0.4630951,1.251,0.76649,17.341,16.9181959
714,14,12,2017,1.571,2.5972932,1.395,1.6495703,2.81,1.4768007,52.423,30.1264144
715,15,12,2017,6.432,2.9543647,4.321,1.7707936,2.426,1.3498527,50.646,33.3871353
716,16,12,2017,1.365,2.1875779,1.415,1.4183496,1.309,0.7574566,18.475,20.5222593
717,17,12,2017,0.879,1.5629899,0.911,1.1047254,0.953,0.4679959,12.395,12.4355175
718,18,12,2017,0.712,1.231946,0.755,0.902368,0.772,0.3205367,9.679,8.7756668
719,19,12,2017,0.592,1.0223076,0.639,0.7603774,0.626,0.2360438,7.869,6.6962818
720,20,12,2017,0.546,0.8901047,0.595,0.6599455,0.557,0.1839697,6.785,5.3393454
721,21,12,2017,0.505,0.7703476,0.534,0.5685614,0.486,0.150041,5.975,4.4053464
722,22,12,2017,0.521,0.7654294,0.542,0.5860128,0.458,0.2232389,5.566,5.2465083
723,23,12,2017,0.492,0.6806689,0.528,0.5362417,0.62,0.2722598,6.173,6.0893003
724,24,12,2017,0.46,0.5941041,0.496,0.4741301,0.694,0.2267417,7.06,5.2083138
725,25,12,2017,0.433,0.5273873,0.466,0.4234518,0.586,0.1787166,6.082,4.7186768
726,26,12,2017,0.476,0.556524,0.499,0.4502912,0.63,0.2180181,6.85,5.3731016
727,27,12,2017,0.551,0.7194121,0.538,0.5396196,0.794,0.3082591,10.859,7.4409314
728,28,12,2017,0.527,0.6386,0.53,0.4781936,0.772,0.2824229,11.898,7.4331891
729,29,12,2017,0.452,0.5507977,0.471,0.4241077,0.613,0.2125094,8.13,5.5070421
730,30,12,2017,1.279,1.2888384,0.793,0.8683886,1.353,0.7753909,20.387,16.0180802
731,31,12,2017,1.159,1.1321424,0.796,0.7572427,1.697,0.7447125,29.37,18.1830893
732,1,1,2018,1.101,1.4545456,0.791,0.9384018,1.756,0.8668741,23.609,16.9200249
733,2,1,2018,1.255,1.5640713,0.859,0.9708721,1.699,0.8736282,31.24,17.6683317
734,3,1,2018,1.349,2.0316988,0.882,1.2344678,1.536,0.8316356,22.797,17.5196584
735,4,1,2018,4.52,4.7613207,2.337,2.4700564,2.894,1.9627791,67.136,38.6306843
736,5,1,2018,3.505,5.3754813,2.158,2.6203854,2.048,1.9510342,50.472,44.6212265
737,6,1,2018,1.95,3.5874366,1.372,1.8823119,1.197,1.0051366,23.1,25.3806705
738,7,1,2018,1.368,2.4291378,0.995,1.4478455,0.972,0.5958887,15.646,15.0204232
739,8,1,2018,1.099,1.7770055,0.821,1.1671963,0.795,0.405509,12.206,10.3634265
740,9,1,2018,0.977,1.438635,0.734,0.9669009,0.659,0.3161693,10.54,8.226765
741,10,1,2018,0.863,1.1993828,0.656,0.8158554,0.555,0.2575114,9.018,6.881719
742,11,1,2018,0.943,1.3124329,0.719,0.7696134,0.487,0.2121292,8.642,6.2715713
743,12,1,2018,0.8,1.2317901,0.592,0.6865354,0.422,0.1810371,7.291,5.6647877
744,13,1,2018,0.743,1.013867,0.553,0.5940672,0.383,0.1572206,6.486,4.7929856
745,14,1,2018,0.693,0.8621562,0.516,0.5235244,0.345,0.1400787,6.095,4.16056
746,15,1,2018,0.661,0.7606998,0.51,0.4707607,0.305,0.1280273,5.824,3.7484557
747,16,1,2018,0.774,1.3165017,0.568,0.8240762,0.517,0.3619414,6.964,7.5526858
748,17,1,2018,1.017,1.5538346,0.812,1.0124739,1.006,0.5070442,17.185,11.6687814
749,18,1,2018,1.281,1.9613464,0.928,1.2809815,1.066,0.7955243,15.256,15.6444205
750,19,1,2018,1.792,1.9937072,1.358,1.3316248,1.81,1.0156578,40.247,20.4205575
751,20,1,2018,1.431,2.6004569,1.16,1.7126028,1.165,1.1165832,19.975,23.3682793
752,21,1,2018,3.148,4.9050315,2.592,3.0547452,1.881,1.6644944,44.244,35.3170975
753,22,1,2018,12.485,9.5751648,6.198,6.1096292,3.523,3.0817211,121.089,67.0882902
754,23,1,2018,5.251,9.0452905,3.568,5.8431243,1.712,2.3842112,50.336,61.729987
755,24,1,2018,2.611,5.5263393,2.097,3.6738672,1.03,1.061725,24.462,30.285708
756,25,1,2018,1.98,3.5954827,1.609,2.3778378,0.856,0.6316408,17.422,18.1798489
757,26,1,2018,1.708,2.7978434,1.363,1.7312772,0.698,0.4590892,14.426,13.0588556
758,27,1,2018,1.581,2.3669341,1.226,1.4722486,0.551,0.3591218,12.153,10.5845229
759,28,1,2018,1.366,1.7859465,1.055,1.2141277,0.466,0.2802616,10.273,8.3117339
760,29,1,2018,1.272,1.4607831,0.987,1.0139555,0.412,0.2304978,9.252,6.8489437
761,30,1,2018,1.181,1.2233344,0.931,0.860835,0.363,0.1973206,8.439,5.7830865
762,31,1,2018,1.153,1.0738668,0.893,0.7575775,0.331,0.1770747,7.809,5.1305529
763,1,2,2018,2.749,1.7806268,1.815,1.2980383,0.884,0.3579957,23.276,9.2689858
764,2,2,2018,1.857,1.7931203,1.477,1.3247131,0.779,0.4130597,16.78,11.2229785
765,3,2,2018,1.495,1.3988079,1.193,1.0761529,0.598,0.3088613,12.372,8.5686155
766,4,2,2018,1.279,1.1566138,1.038,0.9017763,0.498,0.2456942,10.099,6.8873184
767,5,2,2018,1.173,0.9838043,0.949,0.7712646,0.433,0.205233,8.826,5.7491906
768,6,2,2018,1.106,0.8534691,0.904,0.6708356,0.392,0.1778803,7.985,4.9432931
769,7,2,2018,1.033,0.7540371,0.841,0.5926536,0.353,0.1587674,7.319,4.3623629
770,8,2,2018,0.961,0.6744342,0.802,0.5305877,0.311,0.1446903,6.574,3.929943
771,9,2,2018,0.929,0.6095006,0.769,0.4809233,0.289,0.1337523,6.179,3.5780406
772,10,2,2018,0.892,0.5581052,0.757,0.4410896,0.268,0.1252303,5.76,3.3077645
773,11,2,2018,0.906,0.5684354,0.748,0.4628981,0.266,0.1267108,5.538,3.4440481
774,12,2,2018,0.858,0.586709,0.728,0.4759515,0.257,0.1247673,5.514,3.5677252
775,13,2,2018,0.815,0.5464156,0.684,0.439349,0.236,0.1169305,5.061,3.2694798
776,14,2,2018,0.786,0.5057466,0.662,0.4068185,0.216,0.1106784,4.87,3.0346904
777,15,2,2018,0.875,0.6886394,0.718,0.5153334,0.24,0.1912916,5.032,4.7860913
778,16,2,2018,0.97,1.063939,0.821,0.8034481,0.638,0.4564206,10.688,10.4980388
779,17,2,2018,1.331,1.6712648,1.23,1.2683733,1.305,0.9337611,22.769,18.4249369
780,18,2,2018,1.291,1.5701767,1.692,1.2245862,1.166,0.8907772,22.098,18.2290514
781,19,2,2018,1.117,1.2181953,1.191,0.9917909,0.843,0.5503141,12.652,11.3535387
782,20,2,2018,1.016,1.0133329,1.028,0.8347643,0.662,0.3827538,9.7,8.2791502
783,21,2,2018,0.931,0.8681313,0.928,0.7179842,0.542,0.2878259,7.935,6.5036459
784,22,2,2018,0.876,0.7597278,0.879,0.6285697,0.469,0.2296617,6.894,5.3658071
785,23,2,2018,0.818,0.6764203,0.836,0.5588832,0.407,0.1918203,6.124,4.5878799
786,24,2,2018,0.776,0.6111784,0.774,0.503878,0.363,0.165977,5.489,4.0312177
787,25,2,2018,0.732,0.5593818,0.72,0.460025,0.306,0.1475894,5.02,3.6188263
788,26,2,2018,0.778,0.5178199,0.783,0.4247702,0.21,0.1340305,4.59,3.3046613
789,27,2,2018,1.671,0.4841782,1.011,0.3962217,0.226,0.1237078,4.415,3.0596386
790,28,2,2018,1.794,0.4567431,0.688,0.3729539,0.249,0.1156177,4.243,2.8645965
791,1,3,2018,1.668,0.4342214,0.696,0.3538782,0.258,0.1091073,4.203,2.7210589
792,2,3,2018,1.307,0.4156222,0.713,0.3381535,0.227,0.1037394,4.309,2.6279529
793,3,3,2018,0.692,0.4007126,0.712,0.3251244,0.206,0.11432,4.143,2.7863101
794,4,3,2018,0.743,0.6154257,0.797,0.4656308,0.227,0.2859151,4.414,5.6547597
795,5,3,2018,1.16,1.4750942,1.101,0.9946146,0.295,0.3727424,6.283,8.5068934
796,6,3,2018,1.855,1.770735,1.477,1.3031546,0.582,0.4045581,12.412,9.4668664
797,7,3,2018,2.872,1.9410973,1.925,1.513774,0.945,0.4406619,18.453,10.60466
798,8,3,2018,2.58,1.660673,1.895,1.3152224,0.852,0.3593217,14.348,9.0705071
799,9,3,2018,1.845,1.3088958,1.501,1.075475,0.782,0.2706438,11.929,7.0881858
800,10,3,2018,1.692,1.2822219,1.369,0.9832138,0.788,0.2240575,11.813,6.2805377
801,11,3,2018,1.768,1.61638,1.37,1.1187241,0.721,0.2525202,11.689,7.2222742
802,12,3,2018,1.679,1.624649,1.338,1.1454501,0.714,0.3935496,12.55,9.4109295
803,13,3,2018,1.793,1.6043102,1.378,1.1068833,0.964,0.4335585,18.666,10.0465193
804,14,3,2018,1.753,1.3804902,1.235,0.951609,0.739,0.3435988,13.818,8.0818205
805,15,3,2018,1.514,1.1457693,1.094,0.8072153,0.6,0.2777213,10.613,6.8241029
806,16,3,2018,1.301,0.9968012,0.988,0.7015681,0.484,0.2447705,10.571,6.3240216
807,17,3,2018,1.346,1.1923785,1.049,0.8834184,0.556,0.3521205,10.544,8.0449732
808,18,3,2018,1.438,1.2497923,1.293,0.9364068,0.717,0.3899746,16.223,9.2592853
809,19,3,2018,1.229,1.0308036,1.057,0.796157,0.516,0.3006079,10.977,7.2046224
810,20,3,2018,1.098,0.8911512,0.955,0.6920713,0.376,0.2353803,8.775,5.7979318
811,21,3,2018,0.994,0.7830121,0.882,0.611533,0.287,0.1932811,6.979,4.8491879
812,22,3,2018,0.966,0.6994948,0.821,0.5487129,0.248,0.1650939,6.326,4.2047821
813,23,3,2018,0.979,0.6339861,0.815,0.4999782,0.221,0.146558,6.021,3.7635929
814,24,3,2018,0.942,0.5815463,0.798,0.4603282,0.195,0.1321801,5.827,3.4299932
815,25,3,2018,0.879,0.5394344,0.719,0.4277287,0.168,0.1210319,5.417,3.1640985
816,26,3,2018,0.821,0.5057586,0.676,0.4012753,0.152,0.1124384,5.003,2.94876
817,27,3,2018,0.813,0.5087314,0.667,0.3926824,0.152,0.1166583,4.692,3.0797196
818,28,3,2018,1.081,0.8853807,0.766,0.6009927,0.203,0.3195759,5.762,6.6021132
819,29,3,2018,1.607,1.1975296,1.425,0.9031484,1.019,0.6060622,25.476,11.9246555
820,30,3,2018,1.591,1.6960624,1.322,1.2410145,0.679,0.7724112,16.339,15.6295187
821,31,3,2018,2.461,1.8721837,1.986,1.3585398,0.776,0.7138455,22.856,15.8438013
822,1,4,2018,1.925,1.6426817,1.681,1.2313969,0.63,0.5300282,16.825,12.5038611
823,2,4,2018,1.589,1.3566008,1.334,1.0466194,0.503,0.3838826,12.749,9.6763438
824,3,4,2018,1.377,1.127356,1.128,0.8853188,0.373,0.2860586,9.907,7.4343166
825,4,4,2018,1.484,1.4648738,1.151,1.1312096,0.442,0.6002102,9.612,11.2546016
826,5,4,2018,2.093,1.5737254,1.547,1.2135512,0.962,0.734134,24.545,14.889864
827,6,4,2018,1.567,1.2448564,1.233,1.0109633,0.565,0.4894484,15.053,10.4301399
828,7,4,2018,1.341,1.0465117,1.037,0.8579197,0.426,0.3480398,10.983,7.7632757
829,8,4,2018,1.21,0.9033091,0.928,0.7424686,0.322,0.2661042,9.269,6.1865009
830,9,4,2018,1.104,0.7953682,0.843,0.653493,0.255,0.2150443,8.104,5.1629562
831,10,4,2018,1.043,0.7181897,0.797,0.5839901,0.219,0.181381,6.917,4.4683435
832,11,4,2018,0.997,0.662747,0.762,0.5290728,0.196,0.1581403,6.246,3.9745753
833,12,4,2018,0.955,0.6077335,0.72,0.4850607,0.172,0.1414543,5.761,3.5875229
834,13,4,2018,0.871,0.5633413,0.657,0.4496368,0.151,0.1290555,5.311,3.2907969
835,14,4,2018,0.814,0.5273683,0.617,0.4209276,0.141,0.1195537,4.91,3.0583488
836,15,4,2018,0.826,0.498011,0.602,0.3975128,0.133,0.1120645,4.81,2.8726405
837,16,4,2018,0.808,0.4739006,0.588,0.3783044,0.125,0.106008,4.728,2.7226241
838,17,4,2018,0.74,0.4539841,0.55,0.3624609,0.114,0.1009931,4.586,2.5987827
839,18,4,2018,0.72,0.4374426,0.545,0.3493253,0.107,0.0967504,4.421,2.4938028
840,19,4,2018,0.716,0.4236331,0.537,0.3383809,0.099,0.0930905,4.179,2.4045511
841,20,4,2018,0.695,0.4120468,0.529,0.3292183,0.095,0.089878,3.955,2.3277196
842,21,4,2018,0.675,0.402278,0.512,0.3215111,0.091,0.0870142,3.791,2.2607655
843,22,4,2018,0.659,0.3940015,0.499,0.3149978,0.087,0.0844264,3.602,2.2017488
844,23,4,2018,0.639,0.3869551,0.497,0.3094686,0.082,0.0820606,3.52,2.1493191
845,24,4,2018,0.641,0.3809262,0.506,0.304751,0.08,0.0798755,3.442,2.1021179
846,25,4,2018,0.625,0.375742,0.472,0.3007064,0.073,0.0778398,3.22,2.0591475
847,26,4,2018,0.611,0.371261,0.459,0.2972221,0.062,0.0759294,3.167,2.0198141
848,27,4,2018,0.588,0.3673674,0.486,0.294205,0.062,0.0741255,3.029,1.9835414
849,28,4,2018,0.572,0.363973,0.45,0.2915789,0.057,0.0724132,2.866,1.9498635
850,29,4,2018,0.575,0.3609878,0.444,0.2892806,0.054,0.0708162,2.791,1.9213349
851,30,4,2018,0.591,0.3589635,0.546,0.2887117,0.082,0.0701413,3.266,1.9126838
852,1,5,2018,0.557,0.3570808,0.474,0.2881141,0.059,0.0693727,2.857,1.9010246
853,2,5,2018,0.548,0.3548456,0.483,0.286165,0.052,0.0677933,2.791,1.8711435
854,3,5,2018,0.557,0.3536667,0.506,0.2849835,0.056,0.0662774,2.807,1.8455379
855,4,5,2018,0.537,0.3533038,0.485,0.2844475,0.048,0.0648769,2.688,1.8244333
856,5,5,2018,0.482,0.3513475,0.455,0.2828276,0.043,0.0634609,2.48,1.7970761
857,6,5,2018,0.455,0.349564,0.42,0.2813751,0.039,0.0621075,2.335,1.7713573
858,7,5,2018,0.468,0.3479454,0.416,0.2800688,0.036,0.0608098,2.196,1.7471086
859,8,5,2018,0.46,0.3464773,0.417,0.2789419,0.038,0.0647959,2.19,1.7753896
860,9,5,2018,0.464,0.3457417,0.398,0.2781464,0.062,0.0637858,2.839,2.0794344
861,10,5,2018,0.535,0.3456358,0.428,0.2776493,0.054,0.0667659,2.865,2.0928013
862,11,5,2018,0.468,0.344724,0.427,0.2770871,0.035,0.0621111,2.593,1.916189
863,12,5,2018,0.463,0.39593,0.431,0.2955315,0.172,0.108664,2.419,2.1478327
864,13,5,2018,0.79,0.377821,0.636,0.2876392,0.133,0.0940385,3.982,2.2432122
865,14,5,2018,0.446,0.5017394,0.411,0.3946079,0.083,0.1304496,2.932,2.877482
866,15,5,2018,1.161,1.0656197,1.002,0.6733656,0.233,0.1695615,7.028,4.5286996
867,16,5,2018,0.7,0.677189,0.662,0.4465002,0.123,0.174028,4.854,4.2604198
868,17,5,2018,0.537,0.4769828,0.494,0.3529584,0.088,0.1464018,3.749,3.5711787
869,18,5,2018,0.433,0.4353283,0.417,0.3351868,0.061,0.1223968,2.927,3.0503635
870,19,5,2018,0.399,0.416736,0.393,0.3242218,0.048,0.1057956,2.518,2.7926321
871,20,5,2018,0.384,0.4021803,0.373,0.3152126,0.042,0.0944452,2.374,2.5999089
872,21,5,2018,0.38,0.3905374,0.368,0.3077465,0.037,0.0888011,2.281,2.4065422
873,22,5,2018,0.372,0.3811267,0.351,0.3123724,0.037,0.0918152,2.308,2.6105269
874,23,5,2018,0.37,0.3752419,0.405,0.3153472,0.076,0.1041292,4.087,3.0045609
875,24,5,2018,0.384,0.3709191,0.372,0.3056561,0.049,0.0972244,3.13,2.7139382
876,25,5,2018,0.354,0.3642989,0.334,0.2988942,0.038,0.0871531,2.392,2.3918129
877,26,5,2018,0.348,0.3591341,0.312,0.2938941,0.034,0.0797105,2.094,2.2000914
878,27,5,2018,0.349,0.3585354,0.315,0.32694,0.045,0.1243045,2.044,2.8919457
879,28,5,2018,0.402,0.8768904,0.417,0.4245771,0.074,0.1195157,4.432,3.6718181
880,29,5,2018,0.564,0.5795234,0.517,0.3742955,0.05,0.1167129,2.904,2.8473325
881,30,5,2018,0.366,0.4719778,0.436,0.361078,0.053,0.1138179,2.648,2.9712777
882,31,5,2018,0.444,0.4857158,0.496,0.3674707,0.197,0.2198086,4.171,3.582219
883,1,6,2018,0.31,0.4307915,0.382,0.312256,0.107,0.2234899,4.844,3.4407835
884,2,6,2018,0.264,0.4057227,0.304,0.3033452,0.061,0.1700309,2.67,2.7442784
885,3,6,2018,0.262,0.3899424,0.291,0.2994509,0.051,0.1416472,2.185,3.5743335
886,4,6,2018,0.267,0.6930063,0.323,0.4398472,0.05,0.1237539,2.966,4.349433
887,5,6,2018,0.556,0.601415,0.563,0.3490374,0.052,0.1114367,2.512,3.2495114
888,6,6,2018,0.649,0.9512833,0.379,0.3630494,0.052,0.1001198,3.799,3.104757
889,7,6,2018,1.092,1.6775254,0.542,0.8878204,0.052,0.0938639,3.484,3.3826666
890,8,6,2018,0.423,1.422585,0.854,0.7966902,0.284,0.2112576,4.643,4.934237
891,9,6,2018,0.31,0.8598027,0.568,0.6408809,0.146,0.2226667,4.984,4.643379
892,10,6,2018,0.248,0.6577485,0.35,0.5336098,0.083,0.1699796,2.742,3.6402635
893,11,6,2018,0.638,2.0128479,0.757,1.2863818,0.193,0.3691223,5.029,7.8263037
894,12,6,2018,2.336,3.0356208,2.045,1.5682514,0.579,0.7027968,19.538,14.4256047
895,13,6,2018,2.049,2.3570581,1.588,1.3235661,0.893,0.7141183,21.041,14.0169412
896,14,6,2018,0.712,1.5864847,0.814,1.016723,0.398,0.4968135,9.179,10.1188312
897,15,6,2018,0.457,1.1973647,0.581,0.8196811,0.218,0.3365673,5.514,7.1292856
898,16,6,2018,0.354,0.9821312,0.48,0.7032062,0.156,0.2471238,4.088,5.5474752
899,17,6,2018,0.304,0.8369587,0.42,0.6192783,0.128,0.1928385,3.333,4.5494809
900,18,6,2018,0.267,0.7324593,0.388,0.5541669,0.108,0.1578235,2.935,3.8698074
901,19,6,2018,0.25,0.6543077,0.377,0.5028545,0.088,0.1341306,2.63,3.3845624
902,20,6,2018,0.237,0.5943583,0.339,0.4619651,0.075,0.1174522,2.386,3.0261873
